CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2014-2-6,6,0,-5,-5,-9,-12,80,66,53,30.42,30.37,30.30,10,10,10,15,9,23,0.00,0,,252
2014-2-7,12,3,-6,-4,-8,-12,79,65,49,30.31,30.28,30.24,10,10,10,16,10,23,0.00,0,,220
2014-2-8,37,18,-2,7,2,-8,79,43,22,30.30,30.18,30.11,10,6,1,10,6,,0.00,5,Snow,196
2014-2-9,27,18,10,5,3,2,67,46,36,30.27,30.14,30.09,10,9,5,13,7,,0.00,4,,293
2014-2-10,7,-1,-9,-8,-11,-15,75,60,50,30.43,30.35,30.27,10,10,10,13,9,,0.00,0,,290
2014-2-11,10,-4,-17,-5,-12,-22,79,65,47,30.55,30.46,30.35,10,10,2,12,4,,0.00,0,,193
2014-2-12,16,7,-2,10,3,-8,92,74,60,30.33,30.13,30.01,10,5,0,16,10,,0.01,5,Snow,211
2014-2-13,27,14,0,20,14,-6,85,76,53,29.99,29.67,29.48,10,6,0,21,10,29,0.00,8,Snow,194
2014-2-14,21,14,8,12,6,-1,81,67,55,30.00,29.75,29.54,10,10,7,23,14,30,0.00,3,,307
2014-2-15,18,6,-6,13,5,-10,88,75,56,30.10,30.00,29.92,10,7,2,10,6,,0.03,5,Snow,196
2014-2-16,16,10,3,12,7,-1,84,76,62,30.32,30.15,29.93,10,9,5,16,7,,0.00,4,Snow,343
2014-2-17,25,16,7,21,17,2,92,83,75,30.28,29.86,29.69,10,4,0,26,10,34,0.07,7,Fog-Snow,165
2014-2-18,41,29,17,27,20,14,88,76,55,29.89,29.75,29.58,10,7,3,16,9,22,0.00,3,,221
2014-2-19,42,35,28,26,22,19,78,63,49,29.93,29.84,29.67,10,10,10,12,7,,0.00,1,,230
2014-2-20,39,34,30,36,30,21,93,82,64,29.89,29.49,29.02,10,8,2,28,13,43,0.24,7,Rain,135
2014-2-21,36,27,18,29,15,8,78,69,53,29.72,29.37,29.05,10,8,2,29,22,40,0.00,6,Snow,236
2014-2-22,27,20,12,10,7,3,68,58,47,30.07,29.91,29.73,10,10,10,16,12,28,0.00,0,,255
2014-2-23,21,13,5,5,2,-2,73,60,46,30.19,30.14,30.08,10,10,10,17,9,26,0.00,0,,262
2014-2-24,19,12,6,4,1,-2,70,61,48,30.26,30.22,30.18,10,10,10,18,11,26,0.00,0,,291
2014-2-25,12,6,1,1,-3,-10,73,60,46,30.24,30.20,30.14,10,10,7,20,11,26,0.00,3,,290
2014-2-26,12,3,-6,7,-4,-15,80,63,46,30.24,29.81,29.55,10,7,0,24,13,37,0.00,3,Snow,263
